10000,600,10000,50,10000,10000,300,10000,10000,10000,10000,900,500,10000
600,10000,10000,10000,400,10000,150,10000,10000,10000,10000,10000,10000,10000
10000,10000,10000,110,10000,10000,10000,10000,650,80,410,10000,10000,10000
50,10000,110,10000,10000,10000,350,10000,10000,180,210,10000,10000,10000
10000,400,10000,10000,10000,10000,10000,10000,10000,10000,10000,300,600,10000
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,400,10000,10000
300,150,10000,350,10000,10000,10000,200,10000,10000,10000,10000,10000,10000
10000,10000,10000,10000,10000,10000,200,10000,830,740,10000,10000,10000,300
10000,10000,650,10000,10000,10000,10000,830,10000,260,10000,10000,10000,10000
10000,10000,80,180,10000,10000,10000,740,260,10000,10000,10000,10000,10000
10000,10000,410,210,10000,10000,10000,10000,10000,10000,10000,10000,850,10000
900,10000,10000,10000,300,400,10000,10000,10000,10000,10000,10000,800,10000
500,10000,10000,10000,600,10000,10000,10000,10000,10000,850,800,10000,10000
10000,10000,10000,10000,10000,10000,10000,300,10000,10000,10000,10000,10000,10000
